iter	Logloss
0	0.6903601525
1	0.6882476807
2	0.6849268971
3	0.6826960416
4	0.6801863293
5	0.6783388893
6	0.675775976
7	0.6743798992
8	0.6724052173
9	0.6710092429
10	0.6697619649
11	0.6671688413
12	0.6656532544
13	0.6638102691
14	0.6619489017
15	0.6601432442
16	0.6585766581
17	0.6566149308
18	0.6548745584
19	0.6530938885
20	0.6527440628
21	0.6513180317
22	0.649774641
23	0.6483772841
24	0.6469755749
25	0.645572944
26	0.6438634476
27	0.6427826337
28	0.6412287975
29	0.6392915457
30	0.6381785758
31	0.6366543354
32	0.6353325556
33	0.6340237816
34	0.6333730813
35	0.6315932306
36	0.6310264536
37	0.6304551707
38	0.6292528498
39	0.6282386524
40	0.6267951095
41	0.6253902768
42	0.6240897979
43	0.6231426777
44	0.6218458854
45	0.6208746481
46	0.620075405
47	0.6190924932
48	0.6186873161
49	0.6178191524
50	0.6169581573
51	0.6161113969
52	0.6154169684
53	0.6145036429
54	0.6134187839
55	0.6125120125
56	0.6120257282
57	0.6111042612
58	0.6103016386
59	0.6092152436
60	0.6083074992
61	0.6074015982
62	0.6063192483
63	0.6057018306
64	0.605255127
65	0.603956645
66	0.603165953
67	0.6024600035
68	0.6016612213
69	0.6010027892
70	0.5996227392
71	0.5993477226
72	0.5986180658
73	0.5979207698
74	0.5972336635
75	0.5964672933
76	0.5957254499
77	0.5950555993
78	0.5946825271
79	0.594075555
80	0.5934640769
81	0.5928095363
82	0.5923333904
83	0.591914593
84	0.5911069524
85	0.590251641
86	0.5898406778
87	0.5895903927
88	0.589166014
89	0.5887302168
90	0.5877001974
91	0.5869462698
92	0.5862528654
93	0.5855682168
94	0.5852304753
95	0.5846766017
96	0.5839054184
97	0.583789339
98	0.5832989584
99	0.5828514867
100	0.5821308418
101	0.5815839319
102	0.5810985693
103	0.5806621577
104	0.5798654748
105	0.5794959356
106	0.5787236258
107	0.5780727207
108	0.5773768585
109	0.5769585731
110	0.5765291252
111	0.5761036713
112	0.5752254204
113	0.5743135798
114	0.5738234552
115	0.5733398847
116	0.5727443823
117	0.5721231755
118	0.5714295662
119	0.5712096451
120	0.5705891552
121	0.5700127518
122	0.5692438727
123	0.5688178555
124	0.5683235322
125	0.5677699147
126	0.5672507062
127	0.5667073295
128	0.5659592392
129	0.5655849892
130	0.5651369031
131	0.5647020276
132	0.5642723237
133	0.5635582841
134	0.5632290936
135	0.5626744008
136	0.5620182729
137	0.56149845
138	0.5609017187
139	0.5603663809
140	0.5596858287
141	0.5591044586
142	0.5587092662
143	0.5584026567
144	0.5580154009
145	0.5576299885
146	0.5571762187
147	0.5571464692
148	0.5564702693
149	0.5558944805
150	0.5557401516
151	0.5556589933
152	0.5552527921
153	0.554910647
154	0.5545530383
155	0.554232911
156	0.5536360261
157	0.5530130271
158	0.552523517
159	0.5525189086
160	0.5522129136
161	0.5519262224
162	0.5513602647
163	0.5505549796
164	0.5500229189
165	0.5494577293
166	0.5491661225
167	0.5487562346
168	0.5484882329
169	0.5477557086
170	0.5473720371
171	0.5469750526
172	0.5464217423
173	0.545397048
174	0.5451051853
175	0.544787823
