iter	Logloss
0	0.6658541276
1	0.6389496054
2	0.6242920024
3	0.6130730546
4	0.5999873629
5	0.5864611632
6	0.5783906463
7	0.569661134
8	0.5629853114
9	0.5584515053
10	0.5494450307
11	0.5429342385
12	0.5395486307
13	0.5318215901
14	0.5210329606
15	0.5145873511
16	0.504678355
17	0.49815256
18	0.4916535448
19	0.4871837949
20	0.4794764167
21	0.4738999437
22	0.4658961456
23	0.4623118151
24	0.455247815
25	0.4493544918
26	0.4458211604
27	0.4381387698
28	0.4336309241
29	0.4311402596
30	0.4219495274
31	0.4107219517
32	0.4050093529
33	0.4013349802
34	0.3960304004
35	0.3944068499
36	0.3919758125
37	0.3862424761
38	0.3793406903
39	0.3725276153
40	0.3685115072
41	0.3634571869
42	0.3586929629
43	0.3547120318
44	0.3502595121
45	0.3494100379
46	0.3437325906
47	0.3402363822
48	0.3369689788
49	0.3334660882
50	0.3294556893
51	0.3261449929
52	0.3232091609
53	0.3199771651
54	0.3153752833
55	0.3067853787
56	0.301166048
57	0.2991325839
58	0.2951451756
59	0.2891604532
60	0.2840637873
61	0.2777548412
62	0.2734334549
63	0.2683130815
64	0.2629985169
65	0.2589662539
66	0.2574309279
67	0.2537883784
68	0.2524670082
69	0.2498022246
70	0.2460414707
71	0.2387960549
72	0.2360664982
73	0.2334371989
74	0.231559139
75	0.2278093684
76	0.2256321235
77	0.2243023815
78	0.2207714311
79	0.2203206824
80	0.2183894215
81	0.2159408467
82	0.2133358437
83	0.2120204644
84	0.2101010572
85	0.2080011048
86	0.206525457
87	0.2047073441
88	0.2024465087
89	0.2013089993
90	0.1981090827
91	0.1948220938
92	0.1936943771
93	0.191070403
94	0.1901463502
95	0.1867406192
96	0.1845941864
97	0.1816695297
98	0.181424621
99	0.1772539536
100	0.1734990754
101	0.1718587427
102	0.1691149001
103	0.1663908734
104	0.1646647229
105	0.1629605773
106	0.1605259812
107	0.1599532262
108	0.1581552365
109	0.1575167867
110	0.1557633445
111	0.1546008987
112	0.152854753
113	0.1502942847
114	0.1493484446
115	0.1474557659
116	0.1472880216
117	0.144854232
118	0.1429015806
119	0.1415225547
120	0.13943973
121	0.138171612
122	0.1365919433
123	0.1352258849
124	0.1337346327
