iter	Passed	Remaining
0	6	6856
1	8	4277
2	10	3355
3	11	2969
4	14	2796
5	16	2793
6	20	2974
7	22	2794
8	24	2671
9	26	2602
10	28	2572
11	31	2606
12	34	2588
13	35	2526
14	37	2461
15	39	2441
16	41	2394
17	43	2371
18	46	2421
19	49	2417
20	51	2382
21	52	2350
22	55	2339
23	58	2373
24	61	2384
25	63	2364
26	65	2370
27	67	2344
28	69	2313
29	70	2277
30	73	2298
31	76	2308
32	77	2276
33	79	2248
34	80	2226
35	82	2202
36	83	2175
37	85	2170
38	88	2175
39	90	2163
40	91	2144
41	93	2127
42	94	2104
43	96	2087
44	97	2069
45	99	2071
46	102	2083
47	104	2069
48	105	2050
49	107	2035
50	108	2021
51	110	2008
52	111	1992
53	114	2006
54	117	2013
55	118	2001
56	120	1995
57	122	1984
58	123	1971
59	124	1957
60	126	1943
61	129	1952
62	131	1959
63	133	1951
64	134	1938
65	136	1925
66	137	1915
67	138	1903
68	140	1895
69	143	1900
70	145	1905
71	147	1902
72	149	1894
73	150	1888
74	152	1879
75	153	1868
76	156	1870
77	159	1888
78	161	1878
79	162	1867
80	163	1856
81	165	1849
82	166	1840
83	167	1831
84	170	1836
85	174	1857
86	176	1851
87	177	1842
88	179	1835
89	180	1827
90	182	1818
91	183	1814
92	187	1823
93	189	1822
94	190	1818
95	192	1814
96	194	1810
97	196	1806
98	198	1810
99	201	1815
100	203	1808
101	204	1799
102	205	1792
103	207	1785
104	208	1777
105	209	1770
106	212	1769
107	215	1779
108	216	1773
109	218	1766
110	219	1759
111	221	1752
112	222	1744
113	223	1737
114	225	1735
115	229	1747
116	230	1742
117	232	1736
118	233	1730
119	235	1724
120	236	1717
121	238	1718
122	242	1730
123	244	1727
124	245	1720
125	247	1713
126	248	1708
127	249	1702
128	251	1696
129	254	1704
130	256	1704
131	258	1698
132	259	1692
133	260	1686
134	262	1680
135	263	1675
136	265	1669
137	267	1669
138	270	1675
139	271	1669
140	273	1663
141	274	1657
142	275	1651
143	277	1647
144	278	1642
145	280	1638
146	283	1643
147	284	1640
148	286	1635
149	287	1629
150	288	1624
151	290	1621
152	292	1619
153	295	1622
154	298	1628
155	300	1623
156	301	1618
157	302	1612
158	303	1607
159	305	1604
160	306	1599
161	308	1596
162	311	1599
163	313	1597
164	314	1592
165	315	1587
166	317	1583
167	318	1579
168	320	1574
169	321	1569
170	324	1572
171	326	1572
172	327	1567
173	329	1562
174	330	1558
175	332	1554
176	333	1551
177	335	1548
178	338	1553
179	341	1555
180	343	1552
181	344	1549
182	346	1547
183	348	1543
184	349	1541
185	354	1550
186	357	1553
187	359	1552
188	360	1548
189	362	1545
190	364	1542
191	367	1547
192	370	1551
193	372	1548
194	374	1547
195	376	1546
196	378	1544
197	382	1551
198	384	1548
199	386	1545
200	388	1542
201	390	1540
202	391	1537
203	394	1540
204	397	1543
205	399	1541
206	401	1538
207	403	1536
208	404	1532
209	407	1533
210	410	1536
211	412	1533
212	414	1530
213	415	1526
214	417	1524
215	419	1521
216	421	1521
217	425	1526
218	426	1522
219	428	1518
220	429	1513
221	430	1509
222	432	1505
223	433	1501
224	435	1499
225	439	1506
226	441	1502
227	442	1498
228	443	1493
229	445	1489
230	446	1486
231	448	1483
232	451	1485
233	453	1485
234	455	1481
235	456	1477
236	457	1473
237	459	1469
238	460	1465
239	461	1462
240	465	1464
241	467	1463
242	468	1459
243	470	1456
244	471	1452
245	472	1448
246	473	1444
247	475	1440
248	477	1439
249	479	1439
250	481	1436
251	482	1432
252	484	1429
253	485	1425
254	486	1421
255	488	1418
256	490	1416
257	492	1417
258	494	1415
259	496	1412
260	497	1408
261	499	1405
262	500	1402
263	501	1398
264	504	1399
265	507	1401
266	509	1398
267	510	1394
268	511	1390
269	513	1387
270	514	1383
271	516	1381
272	518	1381
273	521	1382
274	523	1379
275	524	1376
276	525	1372
277	527	1369
278	528	1366
279	530	1363
280	531	1360
281	534	1360
282	536	1360
283	538	1357
284	539	1353
285	541	1350
286	542	1348
287	544	1345
288	546	1344
289	549	1346
290	551	1342
291	552	1339
292	553	1336
293	555	1333
294	556	1330
295	557	1326
296	559	1323
297	561	1323
298	564	1322
299	565	1319
300	566	1316
301	568	1313
302	569	1310
303	571	1307
304	572	1304
305	574	1302
306	576	1302
307	578	1300
308	580	1297
309	581	1294
310	583	1292
311	584	1289
312	586	1286
313	588	1286
314	591	1286
315	593	1283
316	594	1281
317	595	1277
318	597	1275
319	598	1271
320	599	1268
321	601	1265
322	603	1265
323	606	1265
324	607	1262
325	609	1259
326	610	1256
327	611	1253
328	613	1250
329	614	1247
330	617	1247
331	620	1248
332	621	1245
333	623	1242
334	624	1239
335	627	1239
336	629	1238
337	630	1235
338	640	1249
