exper,incent,ticket,member,earning fm,depend,work,Graduate,LC
10,15000,125000,3,1,1,1,1,2180
5,15000,1000000,5,2,2,1,1,2088
2,8000,1000000,3,2,0,1,1,6143
3,15000,125000,5,5,0,1,1,6148
5,0,0,3,5,3,1,1,6046
6,15000,2000000,1,1,1,1,1,6235
2.7,15000,1000000,5,0,3,1,0.08,6039
2,0,0,5,1,0,1,0.43,6115
2,2000,125000,3,2,3,1,1,6348
3.166666667,5000,350000,3,0,3,1,1,6025
4,5000,25000,3,1,3,1,1,6278
0,15000,1200000,3,0,3,0,0,6292
5,15000,125000,5,1,0,1,1,6338
5,5000,1000000,3,1,4,1,1,6136
10,5000,1000000,5,3,4,1,0.43,6063
12,2000,1000000,3,0,3,1,1,6292
0,5000,350000,1,0,1,0,0,6037
6,5000,25000,3,1,2,1,0.43,6340
5,5000,25000,3,1,2,1,0.43,6044
3.5,5000,350000,3,0,3,1,1,6020
0,8000,1200000,5,0,2,1,1,6043
6,8000,2000000,5,4,0,1,1,2088
2,5000,25000,5,1,4,1,1,6298
0,15000,350000,5,0,3,0,0,6434
2,5000,25000,1,2,3,1,1,6215
2,5000,350000,3,1,3,1,1,6058
4,5000,1000000,5,2,5,0,1,6133
0,2000,1200000,5,0,2,0,0,6351
0,15000,25000,5,0,4,0,0,6149
0,5000,1200000,1,0,0,0,0,6115
0,8000,350000,5,0,2,0,0,6342
1,5000,0,1,1,4,1,0.43,6431
3.8,8000,2000000,5,1,5,1,1,6172
8,2000,1000000,0,2,5,1,1,6271
4,15000,25000,3,0,2,1,0.43,6326
3,15000,1000000,1,1,3,1,0.43,6256
1,5000,1000000,5,0,5,0,1,6277
0,15000,25000,5,0,3,0,0,6083
1,8000,350000,3,1,0,1,1,6204
2.583333333,2000,125000,3,0,3,1,1,6163
10,5000,2000000,3,1,2,1,0.43,6044
0.5,5000,1200000,3,0,3,1,1,6229
4,5000,2000000,3,1,2,1,1,6345
12,15000,2000000,3,0,2,1,0.43,6124
4,15000,350000,1,0,2,1,1,6212
1.666666667,15000,750000,3,0,1,1,1,6025
5,5000,2000000,1,0,2,1,1,6127
12,0,0,3,1,0,1,1,6038
6,5000,1000000,5,0,4,1,0.43,6088
0.6,15000,125000,3,0,3,1,1,6001
1,5000,350000,5,1,3,1,1,6007
10.25,15000,1200000,5,0,5,1,1,2165
8,2000,125000,1,1,3,1,1,6212
1,0,125000,5,1,4,1,0.43,6076
4,15000,1000000,5,1,4,1,1,6058
5,8000,125000,5,1,4,1,0.43,6019
0,15000,350000,5,0,4,0,0,6306
5,15000,25000,3,1,2,1,1,6403
6,15000,2000000,3,2,4,1,1,6035
8,15000,2000000,3,2,2,0,0,6248
5.208333333,15000,1200000,1,0,0,1,1,6083
1,0,125000,3,0,3,1,1,6278
6,8000,350000,5,1,4,1,0.43,6046
1,5000,0,3,2,1,1,0.43,6169
6,15000,2000000,1,1,2,1,1,6050
