exper,incent,ticket,member,earning fm,depend,work,Graduate,LC,lang,Performance
5.0,15000,1000000,1,1,1,1.0,1.0,6333,1,0
1.5,8000,125000,3,2,4,1.0,1.0,6048,2,1
4.5,2000,2000000,3,1,2,1.0,0.08,6329,1,1
4.5,15000,2000000,3,2,3,1.0,0.43,6263,2,1
1.0,0,0,3,1,3,1.0,0.43,6059,2,0
10.0,5000,125000,1,1,3,1.0,0.43,6292,3,0
2.0,15000,2000000,5,3,3,1.0,1.0,6264,1,1
6.5,15000,1200000,3,0,2,1.0,1.0,6020,3,0
2.0,15000,2000000,3,2,2,1.0,0.43,6048,1,0
3.0,8000,2000000,5,0,4,1.0,1.0,6310,1,0
3.0,15000,2000000,5,2,5,1.0,1.0,6252,1,1
2.0,8000,125000,3,0,3,1.0,1.0,6341,3,1
7.0,8000,2000000,1,1,1,1.0,0.43,6048,2,0
9.0,15000,1000000,3,1,2,1.0,1.0,6225,3,0
15.0,0,125000,3,1,3,0.5,1.0,6038,3,1
2.5,5000,1000000,5,2,0,1.0,1.0,6040,1,1
6.0,15000,0,3,5,2,1.0,1.0,6059,2,0
6.0,15000,400000,3,0,3,1.0,1.0,6004,2,0
5.0,5000,1000000,5,3,3,1.0,0.43,6347,2,0
5.0,5000,25000,3,1,4,1.0,0.43,6299,2,1
8.0,5000,125000,3,1,3,1.0,0.43,6130,1,1
7.0,15000,400000,3,0,3,1.0,1.0,6089,2,0
3.0,5000,1000000,5,2,4,1.0,1.0,6105,1,1
0.0,5000,400000,5,0,2,1.0,1.0,6023,1,1
3.0,5000,400000,3,1,3,1.0,1.0,6431,2,0
5.0,15000,1000000,3,3,1,1.0,0.43,6355,3,0
5.083333333,5000,25000,1,0,2,1.0,1.0,2241,1,0
7.0,15000,2000000,3,0,5,1.0,1.0,6115,3,0
8.0,8000,1000000,1,1,2,0.5,1.0,2088,1,1
4.0,5000,2000000,1,1,1,1.0,1.0,2092,2,0
6.0,15000,2000000,3,1,2,1.0,0.43,6256,2,0
5.0,5000,125000,1,0,2,1.0,0.08,6059,3,0
10.0,0,0,3,0,5,1.0,0.43,6048,1,0
4.0,8000,125000,3,0,4,1.0,1.0,6014,2,1
1.0,15000,125000,3,2,2,1.0,1.0,6257,2,1
4.0,15000,2000000,5,2,5,1.0,0.43,6046,2,0
0.0,15000,1200000,3,0,0,1.0,0.0,6257,1,0
3.0,8000,2000000,5,5,3,1.0,0.43,6030,3,0
8.0,8000,2000000,1,2,2,1.0,1.0,6015,1,0
3.0,8000,125000,3,1,3,1.0,1.0,6189,3,1
4.0,15000,2000000,5,2,3,1.0,0.43,6040,3,1
1.0,15000,125000,3,2,3,1.0,0.43,6035,1,0
1.5,5000,2000000,3,2,3,1.0,1.0,2105,3,1
4.0,8000,400000,3,1,3,1.0,1.0,6245,1,0
11.0,15000,400000,5,1,5,1.0,0.43,6349,1,0
2.0,15000,125000,5,1,0,1.0,1.0,6360,1,0
0.0,15000,1200000,3,0,2,1.0,0.0,6020,2,1
0.0,2000,400000,3,0,2,1.0,0.0,6115,2,0
10.0,15000,2000000,3,1,3,1.0,1.0,2162,3,1
3.5,15000,1000000,5,1,2,1.0,1.0,6297,1,0
0.0,8000,1200000,5,0,2,1.0,0.0,6390,1,0
2.5,15000,2000000,5,0,5,1.0,1.0,6166,2,1
3.0,8000,400000,3,1,2,1.0,1.0,6067,1,0
4.833333333,15000,1200000,3,0,2,1.0,1.0,6025,2,1
0.0,0,0,3,2,1,1.0,0.08,6030,3,0
2.0,8000,2000000,3,2,2,1.0,1.0,6022,3,1
1.833333333,5000,1200000,3,0,3,1.0,1.0,2241,1,0
0.0,0,0,5,1,4,1.0,1.0,6327,2,1
3.0,8000,1000000,5,5,5,1.0,1.0,6116,2,0
0.0,5000,1200000,5,0,3,1.0,0.0,6225,2,1
10.0,15000,2000000,5,2,3,1.0,1.0,6129,2,0
3.666666667,15000,400000,3,0,1,1.0,1.0,6115,3,1
5.0,8000,125000,5,5,2,1.0,0.43,6158,3,0
4.5,8000,1200000,5,0,2,1.0,0.43,6115,3,0
0.0,0,125000,3,0,1,1.0,0.0,6482,1,1
2.5,0,25000,3,1,3,1.0,1.0,6178,3,0
5.0,5000,1000000,3,0,2,1.0,0.43,6243,2,0
5.0,15000,125000,1,4,5,1.0,0.43,6374,1,1
4.0,5000,25000,5,3,0,1.0,1.0,6257,2,0
1.0,5000,25000,3,1,3,1.0,0.43,6066,3,0
8.0,5000,25000,5,2,3,0.5,1.0,6297,1,0
6.0,5000,2000000,3,1,3,0.5,1.0,6190,1,1
11.0,0,1000000,5,0,4,0.5,1.0,6127,3,1
6.0,15000,25000,5,1,5,1.0,1.0,6294,1,0
0.0,5000,1200000,1,0,2,1.0,1.0,2088,1,0
7.0,5000,2000000,3,0,3,1.0,1.0,6057,1,1
0.0,8000,1200000,5,0,1,1.0,0.0,6246,1,1
3.0,5000,125000,1,2,1,1.0,1.0,6030,1,0
0.0,8000,400000,5,0,1,1.0,0.0,6297,1,0
2.0,5000,1000000,5,3,0,1.0,1.0,6011,3,0
3.0,15000,1000000,3,1,3,1.0,1.0,6113,1,1
4.0,5000,0,3,1,2,1.0,0.43,6298,3,0
8.5,15000,0,5,0,4,1.0,0.43,6089,2,0
5.166666667,15000,1200000,1,0,2,1.0,0.0,6294,2,1
7.0,15000,25000,5,2,2,1.0,1.0,6127,2,1
5.0,5000,2000000,3,2,2,1.0,1.0,6345,1,0
8.0,15000,2000000,5,0,5,1.0,1.0,6116,2,0
9.0,15000,2000000,5,2,3,0.5,1.0,6296,2,1
5.0,15000,1000000,3,0,2,1.0,1.0,2241,2,0
0.0,15000,1200000,5,0,2,1.0,1.0,6113,1,1
9.0,15000,1000000,5,2,3,1.0,1.0,2241,2,0
6.0,15000,1000000,3,1,2,1.0,0.43,6264,3,1
0.0,15000,1200000,1,0,4,1.0,0.0,6166,1,0
1.0,5000,1000000,5,1,1,1.0,0.43,2241,2,0
3.0,5000,2000000,5,5,5,1.0,1.0,6116,3,0
6.0,5000,0,5,5,5,1.0,1.0,6032,1,0
7.0,5000,125000,5,2,0,1.0,0.08,6040,3,0
6.0,15000,1000000,1,2,1,0.5,1.0,6286,1,0
2.0,15000,125000,3,3,2,1.0,0.43,6055,2,0
0.0,15000,400000,5,0,1,1.0,1.0,6297,3,1
0.0,2000,1200000,3,0,4,1.0,1.0,6326,3,0
7.0,5000,2000000,5,2,4,1.0,0.43,6326,2,0
6.0,5000,1000000,5,2,4,1.0,1.0,6040,1,1
0.0,0,0,5,1,3,1.0,1.0,6215,2,0
3.0,15000,400000,3,2,1,1.0,1.0,6261,2,1
3.166666667,5000,1200000,3,0,3,1.0,1.0,6306,1,0
7.0,8000,0,5,1,4,1.0,0.43,6263,3,0
10.0,15000,2000000,3,1,0,1.0,0.43,6246,3,1
5.0,8000,400000,3,1,2,1.0,1.0,6085,3,0
0.0,15000,1200000,5,0,4,1.0,1.0,6083,3,1
4.0,5000,2000000,1,1,0,1.0,0.43,6420,2,0
4.7,15000,1000000,5,5,2,1.0,0.43,6455,3,0
5.0,15000,400000,3,1,1,1.0,1.0,6019,3,0
0.0,5000,1200000,3,0,2,1.0,1.0,6043,3,1
5.5,5000,2000000,5,1,3,1.0,0.43,6248,3,1
5.0,5000,1000000,1,1,2,1.0,1.0,6455,3,1
5.0,15000,400000,3,1,4,1.0,0.08,6050,1,0
4.0,5000,2000000,3,2,4,1.0,0.43,6057,2,1
3.0,15000,2000000,5,3,1,1.0,0.43,6246,3,1
0.0,15000,1200000,3,0,3,1.0,0.0,6081,3,1
1.0,5000,400000,3,0,4,1.0,1.0,6272,2,0
5.0,5000,125000,3,1,3,1.0,0.43,6058,3,0
1.0,15000,2000000,3,1,3,1.0,0.43,6229,2,1
3.0,5000,400000,3,4,0,1.0,0.43,6356,1,0
5.0,5000,125000,3,2,3,1.0,1.0,6147,3,0
0.0,15000,1200000,5,0,3,1.0,0.0,2050,3,1
0.0,5000,25000,5,0,4,1.0,0.0,6115,1,0
0.0,15000,1200000,5,0,2,1.0,0.0,6173,3,0
5.916666667,2000,1200000,3,0,2,1.0,1.0,2088,1,0
16.0,8000,400000,1,0,2,1.0,1.0,6035,1,1
8.0,2000,125000,3,2,2,1.0,1.0,6063,3,1
0.0,2000,1200000,5,0,0,1.0,0.0,6266,1,0
6.0,15000,125000,1,1,2,1.0,1.0,6410,3,0
10.0,15000,1000000,5,1,5,1.0,1.0,6149,3,0
2.0,2000,25000,5,3,3,0.5,1.0,6266,3,0
5.0,5000,400000,5,3,2,1.0,0.43,6238,1,0
2.0,15000,2000000,5,0,5,1.0,1.0,6365,1,0
7.4725,2000,400000,5,0,4,1.0,1.0,6306,1,0
0.0,15000,1200000,3,0,2,1.0,0.0,6083,2,0
7.0,5000,1000000,5,0,5,1.0,1.0,6307,3,1
7.0,15000,2000000,3,1,2,1.0,0.43,6219,1,0
5.0,8000,400000,5,1,1,1.0,1.0,6214,2,1
4.0,15000,400000,3,2,0,1.0,1.0,6043,3,0
13.08333333,0,0,3,0,2,1.0,0.43,6043,3,0
3.8,5000,400000,1,0,2,1.0,0.43,6325,3,1
3.5,5000,0,3,2,3,1.0,1.0,6118,2,0
5.0,8000,125000,3,1,2,1.0,1.0,6215,1,0
5.0,15000,2000000,1,1,2,1.0,1.0,6039,1,1
3.0,0,1000000,5,3,2,1.0,0.03,6230,1,0
0.0,0,0,5,0,4,1.0,1.0,6006,1,1
2.3,5000,1000000,1,1,1,1.0,1.0,6065,3,0
4.0,15000,2000000,5,0,4,1.0,1.0,2092,3,0
3.0,15000,125000,3,2,2,1.0,0.08,6046,1,0
1.0,15000,1000000,3,2,2,1.0,0.03,6008,1,1
2.0,15000,1000000,5,5,5,1.0,1.0,6085,1,1
4.0,8000,2000000,5,3,4,1.0,0.43,6155,2,0
3.5,15000,400000,3,0,2,1.0,0.0,6291,3,0
1.5,15000,125000,5,2,4,1.0,0.43,6039,1,1
6.0,8000,1000000,3,3,2,1.0,0.43,6051,1,0
5.0,8000,2000000,3,0,3,1.0,1.0,6384,2,0
2.8,0,1000000,3,1,2,1.0,0.43,6221,1,0
0.0,8000,1200000,5,0,2,1.0,1.0,6158,3,0
4.0,8000,2000000,3,0,4,1.0,1.0,6022,2,1
3.0,5000,2000000,5,3,2,1.0,1.0,2165,2,0
1.0,0,125000,3,1,1,1.0,0.43,6374,2,0
2.0,5000,25000,5,0,4,1.0,1.0,6088,1,0
4.833333333,15000,1200000,3,0,3,1.0,1.0,6081,1,0
0.0,2000,0,3,0,4,1.0,1.0,6424,1,0
5.0,5000,25000,5,0,5,1.0,1.0,6294,2,0
0.0,5000,1200000,3,0,1,1.0,0.0,6225,2,0
1.0,5000,125000,3,1,2,1.0,1.0,6332,3,0
1.5,15000,25000,1,1,1,0.5,1.0,6106,2,0
0.0,0,0,3,4,3,1.0,1.0,6130,1,0
0.0,8000,25000,5,0,2,1.0,0.0,6354,1,1
6.0,15000,2000000,3,0,2,1.0,1.0,6370,2,0
8.0,8000,1000000,3,3,2,1.0,1.0,6356,3,0
5.0,5000,2000000,5,2,0,1.0,1.0,6172,2,1
1.5,15000,1000000,1,1,1,1.0,0.43,6040,2,1
10.0,0,2000000,5,1,5,0.5,0.08,6219,2,0
0.0,0,0,3,1,2,1.0,0.43,6068,1,0
6.0,5000,400000,3,1,3,1.0,1.0,6330,1,0
20.0,15000,2000000,3,0,3,1.0,0.03,6385,1,0
0.0,15000,1200000,5,0,5,1.0,0.0,6229,2,1
0.0,15000,400000,1,0,2,1.0,0.0,6296,3,1
6.0,5000,1000000,5,3,2,1.0,1.0,6372,2,0
5.0,8000,1000000,5,3,2,1.0,1.0,6143,2,1
2.0,15000,25000,3,1,3,1.0,0.03,6448,1,0
5.0,5000,400000,5,2,4,1.0,0.43,6001,1,1
3.0,0,25000,1,1,2,1.0,1.0,6038,2,0
7.0,15000,1000000,5,3,2,1.0,1.0,6139,3,1
1.0,5000,400000,3,2,3,1.0,0.43,6425,1,0
4.0,15000,2000000,3,3,1,1.0,0.43,6274,3,1
0.0,5000,1200000,5,0,5,1.0,0.0,2108,3,0
4.0,5000,125000,5,3,3,1.0,1.0,6174,2,0
1.25,5000,1200000,5,0,2,1.0,1.0,6306,2,0
1.0,5000,25000,3,5,2,1.0,0.08,6001,2,0
3.3725,0,25000,5,0,1,1.0,1.0,2241,3,0
0.0,5000,0,3,1,3,1.0,1.0,6248,1,0
2.0,5000,1000000,1,1,2,1.0,1.0,6109,1,1
4.0,15000,400000,5,2,5,1.0,0.43,2088,2,0
9.0,15000,2000000,3,0,2,1.0,1.0,6291,1,1
7.0,8000,2000000,5,1,3,1.0,1.0,6165,3,0
1.7,15000,2000000,3,0,3,0.5,1.0,6190,3,1
10.0,8000,25000,5,1,4,1.0,0.43,6281,1,1
7.0,15000,400000,5,2,1,1.0,1.0,6139,3,1
10.0,15000,1000000,5,1,4,1.0,1.0,6056,3,1
6.0,15000,125000,5,3,3,1.0,0.43,6104,3,0
3.0,8000,25000,3,2,1,1.0,1.0,6338,2,1
12.0,15000,25000,3,1,0,1.0,1.0,6158,2,0
1.0,5000,0,5,5,3,1.0,1.0,6169,1,0
4.0,15000,1000000,3,5,3,1.0,0.43,6059,1,1
2.0,15000,1000000,5,2,3,1.0,1.0,6010,1,0
1.0,2000,400000,3,1,1,1.0,1.0,6019,3,0
3.0,15000,2000000,3,5,2,1.0,1.0,6037,3,1
10.0,15000,2000000,3,0,2,1.0,0.08,6046,2,0
0.0,5000,400000,5,0,5,1.0,0.0,6115,2,1
5.0,5000,25000,5,5,2,1.0,1.0,6066,1,0
4.0,15000,125000,3,1,2,1.0,0.43,6463,1,0
0.0,15000,0,5,0,5,1.0,0.0,6367,3,1
7.0,5000,1000000,3,2,2,1.0,0.43,6204,2,0
0.0,15000,400000,3,0,1,1.0,0.0,6081,2,1
0.0,15000,1200000,5,0,4,1.0,0.0,6225,3,0
2.6,15000,25000,5,2,4,1.0,1.0,6326,1,1
0.0,5000,400000,3,0,2,1.0,0.0,6306,2,0
7.0,5000,125000,3,1,1,1.0,1.0,6066,2,0
3.0,15000,2000000,3,1,3,0.5,0.08,6070,2,1
6.5,15000,25000,3,2,1,0.5,0.43,6338,2,0
1.5,8000,1000000,3,5,2,1.0,1.0,6255,2,1
4.0,15000,25000,5,2,1,0.5,1.0,6063,3,0
3.5,8000,400000,3,0,2,1.0,1.0,2241,3,1
5.0,5000,400000,3,3,1,1.0,1.0,6217,3,0
9.0,15000,1000000,3,2,3,1.0,0.43,6126,1,1
1.0,5000,125000,3,2,3,1.0,1.0,6298,2,0
0.0,15000,1200000,5,0,3,1.0,0.0,6370,3,1
6.0,15000,400000,5,1,5,1.0,1.0,6019,2,1
2.0,8000,125000,3,5,4,1.0,1.0,6264,2,1
0.0,5000,1200000,5,0,5,1.0,0.0,6020,2,0
0.0,0,0,3,0,4,1.0,0.08,6037,2,0
0.0,8000,400000,3,0,3,1.0,0.0,6071,1,0
5.0,5000,2000000,3,2,3,1.0,0.43,6048,3,0
4.0,5000,1000000,3,0,2,1.0,0.08,6043,3,1
4.0,5000,400000,3,5,3,1.0,1.0,6264,1,1
6.0,15000,2000000,3,1,3,1.0,0.08,6425,2,1
5.0,8000,1000000,1,0,2,1.0,0.43,6409,2,0
5.0,8000,0,1,0,1,1.0,1.0,6216,1,0
0.0,15000,400000,3,0,3,1.0,0.0,6296,1,1
0.0,0,0,3,1,2,1.0,0.08,6029,1,1
0.0,5000,400000,3,0,3,1.0,1.0,6022,3,0
3.0,15000,1200000,3,0,3,1.0,1.0,6083,2,0
1.5,8000,1000000,3,5,3,1.0,0.08,6043,3,0
3.916666667,15000,1200000,5,0,3,1.0,1.0,6229,2,1
6.0,15000,2000000,5,2,5,1.0,1.0,6294,3,0
6.0,15000,125000,5,3,2,1.0,0.43,6261,1,1
1.5,8000,400000,3,2,3,1.0,0.43,6197,3,0
4.0,8000,2000000,1,0,1,1.0,1.0,6043,1,0
2.0,5000,125000,3,0,3,1.0,0.43,6046,2,1
5.9,15000,2000000,5,1,5,0.5,0.03,6298,2,1
1.5,2000,2000000,3,0,3,1.0,1.0,6278,2,0
3.0,5000,2000000,3,1,2,1.0,1.0,6414,1,0
8.0,8000,1000000,5,0,4,1.0,1.0,6048,1,1
4.0,15000,2000000,1,2,1,1.0,0.43,6331,1,0
2.0,15000,2000000,3,4,4,1.0,0.43,6023,1,0
7.0,5000,25000,3,5,3,1.0,1.0,6307,1,0
10.0,15000,2000000,3,1,1,1.0,1.0,6214,1,1
